131 1 237 468 207 96 -1 -1 -1 -1 label : spot-0.60
132 1 232 469 209 97 -1 -1 -1 -1 label : spot-0.60
133 1 214 472 224 101 -1 -1 -1 -1 label : spot-0.67
134 1 209 474 228 102 -1 -1 -1 -1 label : spot-0.65
135 1 190 474 239 112 -1 -1 -1 -1 label : spot-0.64
136 1 182 474 246 115 -1 -1 -1 -1 label : spot-0.64
137 1 157 478 272 118 -1 -1 -1 -1 label : spot-0.68
138 1 151 479 275 120 -1 -1 -1 -1 label : spot-0.68
139 1 123 482 303 119 -1 -1 -1 -1 label : spot-0.66
140 1 119 483 302 118 -1 -1 -1 -1 label : spot-0.66
141 1 82 486 338 114 -1 -1 -1 -1 label : spot-0.70
142 1 78 487 334 113 -1 -1 -1 -1 label : spot-0.70
143 1 43 492 370 111 -1 -1 -1 -1 label : spot-0.65
144 1 42 493 359 113 -1 -1 -1 -1 label : spot-0.65
145 1 0 498 413 103 -1 -1 -1 -1 label : spot-0.61
146 1 0 500 400 99 -1 -1 -1 -1 label : spot-0.62
147 1 1 503 381 103 -1 -1 -1 -1 label : spot-0.53
148 1 0 504 383 104 -1 -1 -1 -1 label : spot-0.53
149 1 0 506 369 103 -1 -1 -1 -1 label : spot-0.53
150 1 0 507 367 102 -1 -1 -1 -1 label : spot-0.53
151 1 0 509 360 102 -1 -1 -1 -1 label : spot-0.56
152 1 0 510 360 102 -1 -1 -1 -1 label : spot-0.56
153 1 0 513 346 103 -1 -1 -1 -1 label : spot-0.55
154 1 0 514 345 104 -1 -1 -1 -1 label : spot-0.55
155 1 1 516 335 107 -1 -1 -1 -1 label : spot-0.49
156 1 0 516 336 109 -1 -1 -1 -1 label : spot-0.49
157 1 3 518 323 115 -1 -1 -1 -1 label : spot-0.46
158 1 0 519 327 117 -1 -1 -1 -1 label : spot-0.47
159 1 2 521 316 122 -1 -1 -1 -1 label : spot-0.42
160 1 0 522 319 124 -1 -1 -1 -1 label : spot-0.42
161 1 5 524 282 127 -1 -1 -1 -1 label : spot-0.40
261 2 40 490 139 98 -1 -1 -1 -1 label : invalidSpot-entrance 0.43
262 2 34 491 139 98 -1 -1 -1 -1 label : invalidSpot-entrance 0.43
265 2 7 504 140 108 -1 -1 -1 -1 label : invalidSpot-entrance 0.44
266 2 0 509 142 111 -1 -1 -1 -1 label : invalidSpot-entrance 0.44
303 3 159 482 258 109 -1 -1 -1 -1 label : spot-1 0.50
304 3 152 484 263 111 -1 -1 -1 -1 label : spot-1 0.50
305 3 126 487 287 115 -1 -1 -1 -1 label : spot-1 0.58
306 3 120 488 291 117 -1 -1 -1 -1 label : spot-1 0.58
307 3 83 491 324 115 -1 -1 -1 -1 label : spot-1 0.57
308 3 78 492 322 114 -1 -1 -1 -1 label : spot-1 0.58
309 3 20 497 404 93 -1 -1 -1 -1 label : spot-1 0.57
310 3 33 499 367 85 -1 -1 -1 -1 label : spot-1 0.57
313 3 11 503 357 89 -1 -1 -1 -1 label : spot-1 0.43
314 3 1 505 360 90 -1 -1 -1 -1 label : spot-1 0.43
333 4 968 467 149 75 -1 -1 -1 -1 label : spot-1 0.54
334 4 971 467 147 75 -1 -1 -1 -1 label : spot-1 0.54
335 4 979 467 154 78 -1 -1 -1 -1 label : spot-1 0.47
336 4 981 467 157 79 -1 -1 -1 -1 label : spot-1 0.46
337 4 986 465 167 82 -1 -1 -1 -1 label : spot-1 0.62
338 4 989 464 167 84 -1 -1 -1 -1 label : spot-1 0.63
339 4 989 465 188 84 -1 -1 -1 -1 label : spot-1 0.63
340 4 993 466 187 84 -1 -1 -1 -1 label : spot-1 0.64
341 4 996 466 201 84 -1 -1 -1 -1 label : spot-1 0.47
342 4 999 466 201 84 -1 -1 -1 -1 label : spot-1 0.47
343 4 1001 468 219 83 -1 -1 -1 -1 label : spot-1 0.52
344 4 1005 469 219 83 -1 -1 -1 -1 label : spot-1 0.52
345 4 1007 469 236 87 -1 -1 -1 -1 label : spot-1 0.57
346 4 1008 469 241 89 -1 -1 -1 -1 label : spot-1 0.57
